,Target,SeqLength,SF-DOMID,SF,len_SF,FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,TP,CL,CF,FA,Class
51,2MR9_A,40,8088649,3001235,67,8088648,2MR9,A:4-43,P40087,389-428,2MR9,A:4-43,P40087,389-428,1,1000000,2000157,4000749,All alpha
52,2P6R_A,202,8017519,3002019,213,8003046,2P6R,A:1-403,2P6R_A,1-403,2P6R,A:1-202,2P6R_A,1-202,1,1000002,2001248,4000282,alpha / beta
53,2UUB_E,81,8044015,3000100,110,8031637,2UUB,E:74-154,Q5SHQ5,74-154,2UUB,E:74-154,Q5SHQ5,74-154,1,1000003,2000072,4000951,alpha + beta
54,2UUB_Q,104,8044026,3000135,320,8031648,2UUB,Q:2-105,P0DOY7,2-105,2UUB,Q:2-105,P0DOY7,2-105,1,1000001,2000100,4001909,All beta
55,2V2F_F,384,8087191,3001604,202,8087190,2V2F,F:268-651,Q9RET4,268-651,2V2F,F:268-651,Q9RET4,268-651,1,1000003,2000980,4002685,alpha + beta
56,2V90_C,93,8062274,3000388,115,8062273,2V90,C:247-339,Q86UT5,327-419,2V90,C:247-339,Q86UT5,327-419,1,1000001,2000296,4001790,All beta
57,2VKE_A,162,8056374,3000086,97,8002479,2VKE,A:3-208,P0ACT4,3-208,2VKE,A:47-208,P0ACT4,47-208,1,1000000,2000063,4000333,All alpha
58,2WP2_B,110,8084243,3001843,58,8084242,2WP2,B:27-136,Q91Y44,27-136,2WP2,B:27-136,Q91Y44,27-136,1,1000000,2001119,4000871,All alpha
59,2YV3_A,328,8058762,3000043,149,8058761,2YV3,A:1-328,Q5SKU8,1-328,2YV3,A:1-328,Q5SKU8,1-328,1,1000002,2000151,4000077,alpha / beta
60,2ZJR_H,134,8038558,3000433,71,8026179,2ZJR,H:1-134,Q9RXJ2,1-134,2ZJR,H:1-134,Q9RXJ2,1-134,1,1000001,2000320,4001826,All beta
61,3CRN_A,121,8072818,3001156,148,8072817,3CRN,A:2-122,Q2FNF5,2-122,3CRN,A:2-122,Q2FNF5,2-122,1,1000002,2000016,4003632,alpha / beta
62,3DMI_A,87,8068551,3000815,108,8068550,3DMI,A:46-132,Q8GTB5,46-132,3DMI,A:46-132,Q8GTB5,46-132,1,1000000,2000521,4000635,All alpha
63,3GFO_A,222,8058258,3002020,98,8058257,3GFO,A:2-252,Q0TUN8,2-252,3GFO,A:2-223,Q0TUN8,2-223,1,1000002,2001251,4003976,alpha / beta
64,3GM8_A,158,8090587,3000087,121,8090586,3GM8,A:20-177,A6KXE5,20-177,3GM8,A:20-177,A6KXE5,20-177,1,1000001,2000064,4002476,All beta
65,3HRX_A,254,8059894,3000033,180,8059893,3HRX,A:1-254,Q5SLK3,1-254,3HRX,A:1-254,Q5SLK3,1-254,1,1000002,2000027,4000036,alpha / beta
66,3JAI_SS,137,8101437,3000053,66,8101436,3JAI,SS:6-142,G1SZI5,10-146,3JAI,SS:6-142,G1SZI5,10-146,1,1000000,2000033,4000260,All alpha
67,3JB4_B,166,8077349,3000918,158,8077348,3JB4,B:37-258,Q8JV21,37-258,3JB4,B:82-247,Q8JV21,82-247,1,1000001,2000578,4003466,All beta
68,3M0G_A,283,8059005,3001615,73,8059004,3M0G,A:4-286,Q9KWR7,3-285,3M0G,A:4-286,Q9KWR7,3-285,1,1000000,2000988,4001453,All alpha
69,3O1D_A,298,8067163,3001442,75,8067162,3O1D,A:156-453,Q9PTN2,156-453,3O1D,A:156-453,Q9PTN2,156-453,1,1000000,2000883,4001384,All alpha
70,3RHH_C,476,8065564,3001479,115,8065563,3RHH,C:8-483,Q9KAQ0,6-481,3RHH,C:8-483,Q9KAQ0,6-481,1,1000002,2000910,4000806,alpha / beta
71,3TJ3_A,426,8081903,3000116,115,8081902,3TJ3,A:82-507,P52294,82-507,3TJ3,A:82-507,P52294,82-507,1,1000000,2000085,4001272,All alpha
72,4EFH_A,227,8092417,3000092,167,8082536,4EFH,A:5-374,P02578,5-374,4EFH,A:148-374,P02578,148-374,1,1000002,2000067,4000313,alpha / beta
73,4EQF_A,312,8081746,3001345,97,8081745,4EQF,A:7-318,Q8C437,255-566,4EQF,A:7-318,Q8C437,255-566,1,1000000,2000085,4001344,All alpha
74,4G12_A,44,8090155,3000001,253,8088786,4G12,A:24-215,A5U5K3,24-215,4G12,A:24-67,A5U5K3,24-67,1,1000000,2000000,4000333,All alpha
75,4HRR_H,150,8066417,3000554,297,8066416,4HRR,H:2-151,P14822,2-151,4HRR,H:2-151,P14822,2-151,1,1000000,2000002,4000551,All alpha
76,4IOP_B,121,8065464,3001261,131,8065463,4IOP,B:76-196,D3W0D1,76-196,4IOP,B:76-196,D3W0D1,76-196,1,1000003,2000775,4002453,alpha + beta
77,4KE6_E,246,8084453,3000102,239,8084452,4KE6,E:4-249,P82597,4-249,4KE6,E:4-249,P82597,4-249,1,1000002,2000076,4001179,alpha / beta
78,4M1Q_B,312,8059684,3000039,96,8059683,4M1Q,B:4-315,D6XW60,4-315,4M1Q,B:4-315,D6XW60,4-315,1,1000002,2000005,4000045,alpha / beta
79,4NBU_B,243,8063200,3000038,498,8063199,4NBU,B:8-250,A6CQL2,1-243,4NBU,B:8-250,A6CQL2,1-243,1,1000002,2000148,4000029,alpha / beta
80,4NYN_A,133,8091470,3000143,141,8048766,4NYN,A:67-199,Q9HSF6,67-199,4NYN,A:67-199,Q9HSF6,67-199,1,1000002,2000067,4000541,alpha / beta
81,4PNE_B,270,8100450,3000118,335,8100449,4PNE,B:13-282,Q9ALM7,6-275,4PNE,B:13-282,Q9ALM7,6-275,1,1000002,2000088,4003320,alpha / beta
82,4RM4_A,375,8078731,3001061,154,8078730,4RM4,A:22-396,O34374,22-396,4RM4,A:22-396,O34374,22-396,1,1000000,2000672,4001206,All alpha
83,4V52_BC,147,8035393,3000334,129,8023013,4V52,BC:125-271,P60422,126-272,4V52,BC:125-271,P60422,126-272,1,1000001,2000090,4001762,All beta
84,4WE5_A,321,8087820,3001342,121,8087819,4WE5,A:4-324,Q1PUD9,20-340,4WE5,A:4-324,Q1PUD9,20-340,1,1000001,2000813,4002506,All beta
85,4ZPL_A,107,8091964,3002049,116,8091961,4ZPL,A:208-314,Q91Y08,236-342,4ZPL,A:208-314,Q91Y08,236-342,1,1000001,2000051,4007535,All beta
86,5CZJ_B,319,8100360,3000445,184,8100359,5CZJ,B:22-340,Q92WT0,2-320,5CZJ,B:22-340,Q92WT0,2-320,1,1000002,2000031,4003216,alpha / beta
87,5DE0_C,135,8090938,3000089,105,8087116,5DE0,C:3-299,Q9KQ59,3-299,5DE0,C:165-299,Q9KQ59,165-299,1,1000003,2000014,4003595,alpha + beta
88,5GJH_A,95,8064744,3000197,71,8064743,5GJH,A:58-152,O75791,58-152,5GJH,A:58-152,O75791,58-152,1,1000003,2000185,4001650,alpha + beta
89,5JP5_A,134,8072489,3000120,294,8072488,5JP5,A:12-145,P47967,12-145,5JP5,A:12-145,P47967,12-145,1,1000001,2000089,4002674,All beta
90,5JT8_A,310,8073435,3001808,159,8073434,5JT8,A:6-315,A1KXI0,24-333,5JT8,A:6-315,A1KXI0,24-333,1,1000003,2001107,4000859,alpha + beta
91,5V93_o,87,8096040,3001284,45,8096039,5V93,o:2-88,A0A045JF49,2-88,5V93,o:2-88,A0A045JF49,2-88,1,1000000,2000786,4000767,All alpha
92,5XX9_B,157,8075766,3001658,158,8075765,5XX9,B:1-157,Q9S2N0,1-157,5XX9,B:1-157,Q9S2N0,1-157,1,1000000,2001016,4000839,All alpha
93,5Y4E_A,219,8086372,3000154,79,8089695,5Y4E,A:1265-1483,Q01484,265-483,5Y4E,A:1265-1483,Q01484,265-483,1,1000003,2000134,4000366,alpha + beta
94,6CD6_A,287,8062456,3000066,407,8062455,6CD6,A:125-411,Q8N5S9,125-411,6CD6,A:125-411,Q8N5S9,125-411,1,1000003,2000046,4003661,alpha + beta
95,6K9F_B,87,8100738,3000069,59,8100737,6K9F,B:451-537,Q9Y2G2,345-431,6K9F,B:451-537,Q9Y2G2,345-431,1,1000000,2000050,4000308,All alpha
96,6KNA_A,76,8098530,3000157,182,8098529,6KNA,A:1-76,P16709,1-76,6KNA,A:1-76,P16709,1-76,1,1000003,2000097,4000962,alpha + beta
97,6KWQ_A,462,8094054,3001272,83,8094053,6KWQ,A:1-462,M4QLY4,1732-2193,6KWQ,A:1-462,M4QLY4,1732-2193,1,1000003,2000014,4002808,alpha + beta
98,6O8W_g,154,8096426,3000799,49,8096425,6O8W,g:2-155,A0A1B4XKQ3,2-155,6O8W,g:2-155,A0A1B4XKQ3,2-155,1,1000000,2000512,4001112,All alpha
99,6SPF_T,94,8095263,3000210,72,8095262,6SPF,T:1-94,E2RXT1,1-94,6SPF,T:1-94,E2RXT1,1-94,1,1000003,2000195,4000943,alpha + beta
