,Model,Target,identity(%),positive(%),coverage(%),identity(-misres)(%),positive(-misres)(%),coverage(-misres)(%),DOPE,SOAP,SBROD,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D,P3CMQA,DeepAccNet,DeepAccNet-Bert
118,1FHU_A_3Q45_A_3_3,1FHU_A,0.190625,0.3375,0.940625,0.190625,0.3375,0.940625,30046.943359375,100237.109375,1.47841943966,0.506571,0.558407,0.674992,0.5971479999999999,0.6189355850219727,0.360107421875,0.46044921875
119,1FHU_A_1WUF_A_3_2,1FHU_A,0.16875,0.35625,0.934375,0.16875,0.35625,0.934375,28076.083984375,74657.7265625,1.47453001669,0.47009700000000004,0.548845,0.613288,0.5482899999999999,0.5007206201553345,0.351318359375,0.4443359375
120,1FHU_A_3R0K_A_2_4,1FHU_A,0.184375,0.359375,0.8875,0.18125,0.35625,0.8875,27926.05078125,60176.1328125,1.3801177517299998,0.388615,0.41657,0.545794,0.452395,0.4812946319580078,0.28857421875,0.405029296875
121,1FHU_A_3IJI_A_2_2,1FHU_A,0.1875,0.34375,0.840625,0.1875,0.34375,0.840625,26360.474609375,49395.265625,1.3989014558700001,0.4160609999999999,0.43242200000000003,0.530674,0.47150200000000003,0.4378654360771179,0.2958984375,0.400390625
122,1FHU_A_3DES_A_3_5,1FHU_A,0.225,0.365625,0.925,0.225,0.365625,0.925,29067.318359375,81837.5703125,1.41484428521,0.436812,0.458721,0.605655,0.5254260000000001,0.3956261873245239,0.3134765625,0.39306640625
123,1FHU_A_2FKP_A_3_5,1FHU_A,0.1625,0.31875,0.95,0.1625,0.31875,0.95,28127.078125,65440.296875,1.48260335583,0.467116,0.542243,0.592209,0.526319,0.5036324262619019,0.33056640625,0.434326171875
124,1FHU_A_2QDD_A_2_2,1FHU_A,0.221875,0.359375,0.884375,0.21875,0.35625,0.884375,27536.3046875,67633.3828125,1.40050986461,0.3945909999999999,0.400919,0.535621,0.469839,0.4507215917110443,0.304931640625,0.39501953125
125,1FHU_A_2P88_A_3_5,1FHU_A,0.171875,0.325,0.86875,0.171875,0.325,0.86875,27187.83984375,56669.0859375,1.44880743674,0.4344699999999999,0.4495989999999999,0.53599,0.409064,0.5050041079521179,0.329833984375,0.431396484375
126,1FHU_A_3R0K_A_2_3,1FHU_A,0.184375,0.359375,0.8875,0.18125,0.35625,0.8875,28259.568359375,80308.4296875,1.4183901484,0.43137200000000003,0.46836000000000005,0.581886,0.48572200000000004,0.4939744472503662,0.295166015625,0.417236328125
127,1FHU_A_5OLC_A_3_1,1FHU_A,0.178125,0.35,0.94375,0.178125,0.346875,0.94375,28278.501953125,69796.0390625,1.38224956095,0.3774119999999999,0.34575500000000003,0.4438859999999999,0.443626,0.3692612051963806,0.279052734375,0.40380859375
128,1FHU_A_2FKP_A_3_3,1FHU_A,0.1625,0.31875,0.95,0.1625,0.31875,0.95,28382.392578125,76896.34375,1.461166076,0.466991,0.538241,0.5980260000000001,0.537259,0.4942086338996887,0.3115234375,0.428955078125
129,1FHU_A_3DES_A_3_2,1FHU_A,0.225,0.365625,0.925,0.225,0.365625,0.925,28841.4140625,81559.609375,1.43124127731,0.46876,0.457639,0.60917,0.518408,0.3855528533458709,0.3193359375,0.394775390625
130,1FHU_A_3JVA_A_2_2,1FHU_A,0.225,0.378125,0.90625,0.225,0.378125,0.90625,27965.888671875,67606.296875,1.4766736396200002,0.402517,0.3894559999999999,0.488196,0.411973,0.4105386734008789,0.311279296875,0.417236328125
131,1FHU_A_2PS2_A_3_5,1FHU_A,0.165625,0.31875,0.88125,0.1625,0.3125,0.88125,27648.54296875,31716.1875,1.47070687729,0.482433,0.516483,0.565253,0.531938,0.4986453056335449,0.29833984375,0.42041015625
132,1FHU_A_2QDD_A_2_1,1FHU_A,0.221875,0.359375,0.884375,0.21875,0.35625,0.884375,27620.8828125,56992.1640625,1.4167074047400001,0.3997179999999999,0.387687,0.517524,0.458342,0.4360229074954986,0.31396484375,0.4013671875
133,1FHU_A_3JVA_A_2_5,1FHU_A,0.225,0.378125,0.90625,0.225,0.378125,0.90625,28559.052734375,77226.3125,1.4634771768200001,0.403426,0.392148,0.54896,0.465553,0.4226650595664978,0.321044921875,0.416748046875
134,1FHU_A_1SJA_A_3_2,1FHU_A,0.209375,0.334375,0.96875,0.209375,0.334375,0.96875,29997.013671875,99089.078125,1.46382793221,0.432353,0.502474,0.629205,0.546393,0.5037688612937927,0.34716796875,0.45703125
135,1FHU_A_3GC2_A_1_4,1FHU_A,0.8625,0.909375,0.996875,0.8625,0.909375,0.996875,37731.44921875,219084.484375,1.71553357125,0.696732,0.7759999999999999,0.935106,0.8213950000000001,0.9690580368041992,0.85888671875,0.7861328125
136,1FHU_A_2P88_A_3_2,1FHU_A,0.171875,0.325,0.86875,0.171875,0.325,0.86875,27258.103515625,60760.65625,1.4289480217,0.431671,0.460478,0.531243,0.4419729999999999,0.464080810546875,0.31884765625,0.421142578125
137,1FHU_A_2FKP_A_3_4,1FHU_A,0.1625,0.31875,0.95,0.1625,0.31875,0.95,28075.037109375,69493.8671875,1.4869258856,0.441745,0.529674,0.594549,0.514904,0.4849966168403626,0.32861328125,0.43310546875
138,1FHU_A_3IJI_A_2_3,1FHU_A,0.1875,0.34375,0.840625,0.1875,0.34375,0.840625,27169.771484375,60905.48046875,1.39430515385,0.43035500000000004,0.46811800000000003,0.533276,0.4654189999999999,0.4287324845790863,0.294677734375,0.396728515625
139,1FHU_A_1WUF_A_3_4,1FHU_A,0.16875,0.35625,0.934375,0.16875,0.35625,0.934375,28412.640625,88018.875,1.5313491420899998,0.455108,0.543504,0.604222,0.528827,0.515888512134552,0.332275390625,0.441650390625
140,1FHU_A_1JPD_X_2_1,1FHU_A,0.2125,0.365625,0.903125,0.20625,0.35625,0.9,27793.6484375,96452.234375,1.45256820553,0.41215100000000005,0.457163,0.6274890000000001,0.517368,0.4384842813014984,0.303955078125,0.394775390625
141,1FHU_A_2FKP_A_3_1,1FHU_A,0.1625,0.31875,0.95,0.1625,0.31875,0.95,28345.443359375,73536.2421875,1.4574757683200001,0.47170500000000004,0.5372359999999999,0.6088819999999999,0.502586,0.4777015745639801,0.331298828125,0.4345703125
142,1FHU_A_2FKP_A_3_2,1FHU_A,0.1625,0.31875,0.95,0.1625,0.31875,0.95,28277.2421875,73170.953125,1.49327772154,0.42446300000000003,0.488749,0.563112,0.478178,0.4662241041660309,0.326416015625,0.42333984375
143,1FHU_A_5OLC_A_3_2,1FHU_A,0.178125,0.35,0.94375,0.178125,0.346875,0.94375,28351.525390625,64965.58203125,1.41901889262,0.372897,0.351064,0.51489,0.43581000000000003,0.3646370768547058,0.28369140625,0.40283203125
144,1FHU_A_3DES_A_3_3,1FHU_A,0.225,0.365625,0.925,0.225,0.365625,0.925,28937.37109375,90087.3828125,1.42905057882,0.4708279999999999,0.516864,0.632022,0.537338,0.3934474885463714,0.30908203125,0.395263671875
145,1FHU_A_4MGG_A_3_5,1FHU_A,0.175,0.334375,0.86875,0.175,0.334375,0.86875,26768.7578125,42726.03515625,1.44699204199,0.442229,0.441592,0.539754,0.437283,0.4683145880699158,0.298095703125,0.41552734375
146,1FHU_A_4IZG_A_3_1,1FHU_A,0.18125,0.303125,0.953125,0.18125,0.303125,0.953125,29311.10546875,35706.9609375,1.4404223179100002,0.461413,0.4896189999999999,0.604916,0.5782470000000001,0.4995830059051514,0.33056640625,0.43408203125
147,1FHU_A_4MGG_A_3_3,1FHU_A,0.175,0.334375,0.86875,0.175,0.334375,0.86875,26452.720703125,42708.671875,1.4166757084000001,0.467929,0.46228400000000003,0.524813,0.430649,0.4643690586090088,0.3173828125,0.413330078125
148,1FHU_A_1JPD_X_2_2,1FHU_A,0.2125,0.365625,0.903125,0.20625,0.35625,0.9,28359.228515625,97799.7578125,1.42927958039,0.410236,0.48506000000000005,0.632836,0.530258,0.4242355823516845,0.321533203125,0.39794921875
149,1FHU_A_3Q45_A_3_4,1FHU_A,0.190625,0.3375,0.940625,0.190625,0.3375,0.940625,29570.060546875,96279.9765625,1.48183705158,0.515777,0.5553939999999999,0.681509,0.609173,0.604783296585083,0.352783203125,0.462890625
150,1FHU_A_4MGG_A_3_2,1FHU_A,0.175,0.334375,0.86875,0.175,0.334375,0.86875,27199.02734375,39968.41796875,1.44024429119,0.43715200000000004,0.4466529999999999,0.528392,0.429091,0.4602662920951843,0.296142578125,0.415283203125
151,1FHU_A_3R0K_A_2_2,1FHU_A,0.184375,0.359375,0.8875,0.18125,0.35625,0.8875,28238.13671875,80865.90625,1.45718075271,0.44839700000000005,0.4598069999999999,0.5758979999999999,0.51345,0.5104470252990723,0.3017578125,0.421630859375
152,1FHU_A_3U9I_A_2_3,1FHU_A,0.215625,0.340625,0.909375,0.215625,0.334375,0.909375,28864.1953125,77655.2578125,1.55508234541,0.408044,0.432982,0.565419,0.495724,0.5063151121139526,0.343994140625,0.435546875
153,1FHU_A_3IJI_A_2_4,1FHU_A,0.1875,0.34375,0.840625,0.1875,0.34375,0.840625,27449.447265625,71467.828125,1.4184177576499999,0.416206,0.446247,0.52198,0.4645649999999999,0.4603551924228668,0.29638671875,0.40087890625
154,1FHU_A_2P88_A_3_1,1FHU_A,0.171875,0.325,0.86875,0.171875,0.325,0.86875,27387.55859375,53312.578125,1.4608251024799999,0.4486239999999999,0.4876899999999999,0.569133,0.46626300000000004,0.5022042989730835,0.35205078125,0.427734375
155,1FHU_A_4IZG_A_3_4,1FHU_A,0.18125,0.303125,0.953125,0.18125,0.303125,0.953125,29377.306640625,14305.04296875,1.44280942718,0.507944,0.5579729999999999,0.630897,0.590806,0.5253845453262329,0.32421875,0.435791015625
156,1FHU_A_3U9I_A_2_4,1FHU_A,0.215625,0.340625,0.909375,0.215625,0.334375,0.909375,28121.875,68277.859375,1.5014285854,0.4192359999999999,0.428703,0.572962,0.503921,0.4775388836860657,0.3125,0.421875
157,1FHU_A_1WUE_A_2_3,1FHU_A,0.20625,0.36875,0.88125,0.20625,0.36875,0.88125,26848.56640625,77961.421875,1.5036027102200002,0.374753,0.401803,0.54393,0.443096,0.3882843255996704,0.295166015625,0.412109375
158,1FHU_A_4IZG_A_3_3,1FHU_A,0.18125,0.303125,0.953125,0.18125,0.303125,0.953125,29887.609375,42571.08203125,1.4632650650299999,0.48005200000000003,0.526555,0.589867,0.576113,0.4934268593788147,0.332763671875,0.437744140625
159,1FHU_A_3U9I_A_2_2,1FHU_A,0.215625,0.340625,0.909375,0.215625,0.334375,0.909375,28752.078125,72581.3359375,1.52420043685,0.448191,0.442129,0.585005,0.507134,0.4907155930995941,0.30859375,0.42431640625
160,1FHU_A_5OLC_A_3_4,1FHU_A,0.178125,0.35,0.94375,0.178125,0.346875,0.94375,28194.615234375,57087.7109375,1.4133051008700002,0.37311300000000003,0.322253,0.524575,0.452374,0.3797913193702698,0.291748046875,0.408203125
161,1FHU_A_2PS2_A_3_4,1FHU_A,0.165625,0.31875,0.88125,0.1625,0.3125,0.88125,27216.82421875,31278.6484375,1.43364437786,0.4640189999999999,0.489904,0.5254949999999999,0.506369,0.5161916017532349,0.30615234375,0.41357421875
162,1FHU_A_5OLC_A_3_3,1FHU_A,0.178125,0.35,0.94375,0.178125,0.346875,0.94375,28091.953125,46594.4921875,1.44310101855,0.356784,0.364598,0.476455,0.433856,0.3940197825431824,0.289794921875,0.40625
163,1FHU_A_2P88_A_3_3,1FHU_A,0.171875,0.325,0.86875,0.171875,0.325,0.86875,27687.21875,65612.265625,1.43503091639,0.450298,0.495713,0.557917,0.457942,0.4890502989292145,0.306884765625,0.417724609375
164,1FHU_A_1SJA_A_3_3,1FHU_A,0.209375,0.334375,0.96875,0.209375,0.334375,0.96875,29169.390625,79977.8828125,1.46510724814,0.417443,0.484285,0.593241,0.5478689999999999,0.4877466261386871,0.327392578125,0.4541015625
165,1FHU_A_2P88_A_3_4,1FHU_A,0.171875,0.325,0.86875,0.171875,0.325,0.86875,27224.65234375,63113.42578125,1.4514689382400001,0.43984300000000004,0.4526239999999999,0.5551119999999999,0.439359,0.5007096529006958,0.341552734375,0.431884765625
166,1FHU_A_1WUF_A_3_5,1FHU_A,0.16875,0.35625,0.934375,0.16875,0.35625,0.934375,29177.822265625,90738.40625,1.4964744945500001,0.4831,0.5585640000000001,0.627412,0.5496479999999999,0.5224504470825195,0.325927734375,0.431640625
167,1FHU_A_4IZG_A_3_5,1FHU_A,0.18125,0.303125,0.953125,0.18125,0.303125,0.953125,28916.818359375,16805.60546875,1.4495836339200001,0.460294,0.513274,0.6019909999999999,0.5612560000000001,0.527623176574707,0.33447265625,0.44091796875
168,1FHU_A_4GFI_A_1_2,1FHU_A,0.21875,0.340625,0.803125,0.21875,0.340625,0.803125,25288.931640625,77013.1953125,1.4102480839700002,0.3124679999999999,0.330704,0.47463,0.370595,0.3264574110507965,0.25830078125,0.359375
169,1FHU_A_3JVA_A_2_3,1FHU_A,0.225,0.378125,0.90625,0.225,0.378125,0.90625,28477.80078125,76588.2578125,1.45717254014,0.39715100000000003,0.398316,0.536538,0.452534,0.4164085984230041,0.3134765625,0.41455078125
170,1FHU_A_3GC2_A_1_1,1FHU_A,0.8625,0.909375,0.996875,0.8625,0.909375,0.996875,37216.57421875,203557.3125,1.71378938171,0.697863,0.755734,0.929926,0.8200629999999999,0.9674009084701538,0.80517578125,0.78173828125
171,1FHU_A_2QDD_A_2_5,1FHU_A,0.221875,0.359375,0.884375,0.21875,0.35625,0.884375,26830.37890625,71545.9296875,1.39622539995,0.403888,0.39755100000000004,0.519018,0.4246479999999999,0.4273966252803802,0.297607421875,0.394775390625
172,1FHU_A_3GC2_A_1_3,1FHU_A,0.8625,0.909375,0.996875,0.8625,0.909375,0.996875,37683.796875,207807.796875,1.71512296902,0.711716,0.774564,0.9359770000000001,0.8270879999999999,0.9663491249084472,0.90185546875,0.80810546875
173,1FHU_A_3IJI_A_2_5,1FHU_A,0.1875,0.34375,0.840625,0.1875,0.34375,0.840625,27514.01171875,62218.87109375,1.41200305789,0.43961000000000006,0.4894199999999999,0.570804,0.502139,0.4450718760490417,0.3134765625,0.39794921875
174,1FHU_A_1WUE_A_2_1,1FHU_A,0.20625,0.36875,0.88125,0.20625,0.36875,0.88125,27738.703125,85861.109375,1.462064141,0.42303100000000005,0.440887,0.5831310000000001,0.490267,0.4222021102905273,0.303955078125,0.41796875
175,1FHU_A_4GFI_A_1_3,1FHU_A,0.21875,0.340625,0.803125,0.21875,0.340625,0.803125,24998.9296875,68259.6171875,1.38924274713,0.324126,0.31440100000000004,0.468918,0.3695489999999999,0.3332251906394958,0.2481689453125,0.352783203125
176,1FHU_A_4GFI_A_1_5,1FHU_A,0.21875,0.340625,0.803125,0.21875,0.340625,0.803125,24884.734375,63494.8828125,1.3962065135100001,0.311512,0.3090989999999999,0.446116,0.3509,0.3259230256080627,0.255126953125,0.354736328125
177,1FHU_A_3DES_A_3_4,1FHU_A,0.225,0.365625,0.925,0.225,0.365625,0.925,28761.396484375,73359.5234375,1.42264615413,0.464754,0.49094,0.636698,0.536387,0.3960635066032409,0.3251953125,0.396484375
178,1FHU_A_1WUF_A_3_1,1FHU_A,0.16875,0.35625,0.934375,0.16875,0.35625,0.934375,28224.490234375,88175.2890625,1.4880133441999999,0.49723900000000004,0.579703,0.648617,0.53425,0.5036274194717407,0.328369140625,0.435302734375
179,1FHU_A_3R0K_A_2_1,1FHU_A,0.184375,0.359375,0.8875,0.18125,0.35625,0.8875,27850.0390625,82039.453125,1.43065834606,0.410887,0.4403829999999999,0.572419,0.478462,0.4923460483551026,0.29345703125,0.417236328125
180,1FHU_A_3Q45_A_3_1,1FHU_A,0.190625,0.3375,0.940625,0.190625,0.3375,0.940625,29470.080078125,83660.421875,1.4888200109399998,0.49719300000000005,0.531827,0.651849,0.582072,0.6024481058120728,0.365234375,0.45947265625
181,1FHU_A_1SJA_A_3_1,1FHU_A,0.209375,0.334375,0.96875,0.209375,0.334375,0.96875,29676.07421875,83681.6171875,1.46339263879,0.4445949999999999,0.497558,0.6228279999999999,0.554913,0.5059657096862793,0.332763671875,0.451904296875
182,1FHU_A_1SJA_A_3_4,1FHU_A,0.209375,0.334375,0.96875,0.209375,0.334375,0.96875,29200.65625,79668.015625,1.4529666376600001,0.435928,0.477177,0.575888,0.518475,0.4946611523628235,0.31787109375,0.448486328125
183,1FHU_A_1SJA_A_3_5,1FHU_A,0.209375,0.334375,0.96875,0.209375,0.334375,0.96875,29160.546875,73895.84375,1.4400595863699999,0.445899,0.515138,0.549901,0.529176,0.496331512928009,0.32958984375,0.44677734375
184,1FHU_A_3U9I_A_2_1,1FHU_A,0.215625,0.340625,0.909375,0.215625,0.334375,0.909375,28180.064453125,72970.484375,1.53686674417,0.3654489999999999,0.408059,0.5353600000000001,0.489224,0.4713783264160156,0.318603515625,0.42138671875
185,1FHU_A_1WUE_A_2_4,1FHU_A,0.20625,0.36875,0.88125,0.20625,0.36875,0.88125,27536.615234375,72757.8515625,1.4637896131600001,0.387925,0.460434,0.564569,0.472063,0.419717788696289,0.302734375,0.41845703125
186,1FHU_A_5OLC_A_3_5,1FHU_A,0.178125,0.35,0.94375,0.178125,0.346875,0.94375,28249.845703125,53219.1796875,1.40130656475,0.38847800000000005,0.35617,0.510927,0.478379,0.3775132894515991,0.282470703125,0.4052734375
187,1FHU_A_1JPD_X_2_3,1FHU_A,0.2125,0.365625,0.903125,0.20625,0.35625,0.9,27937.55859375,94669.0546875,1.43182656491,0.408075,0.46453,0.585598,0.5156069999999999,0.4341020584106445,0.331298828125,0.400634765625
188,1FHU_A_3R0K_A_2_5,1FHU_A,0.184375,0.359375,0.8875,0.18125,0.35625,0.8875,28624.458984375,81666.9375,1.45599269533,0.431334,0.4563979999999999,0.5786819999999999,0.504732,0.4911022186279297,0.295166015625,0.4130859375
189,1FHU_A_1JPM_A_2_5,1FHU_A,0.2,0.353125,0.85,0.2,0.353125,0.85,26586.236328125,64221.87109375,1.4117783160100001,0.3357179999999999,0.384751,0.46243100000000004,0.384131,0.351371020078659,0.281494140625,0.390625
190,1FHU_A_4MGG_A_3_1,1FHU_A,0.175,0.334375,0.86875,0.175,0.334375,0.86875,26566.390625,40020.40625,1.4281875432,0.438616,0.4385409999999999,0.534825,0.423363,0.4641068577766418,0.296142578125,0.40966796875
191,1FHU_A_1JPD_X_2_4,1FHU_A,0.2125,0.365625,0.903125,0.20625,0.35625,0.9,28033.134765625,106816.8671875,1.4285895122499999,0.37295300000000003,0.443879,0.594989,0.5150170000000001,0.4263053834438324,0.31884765625,0.400390625
192,1FHU_A_3JVA_A_2_4,1FHU_A,0.225,0.378125,0.90625,0.225,0.378125,0.90625,28616.279296875,78059.7734375,1.4552793066799998,0.373635,0.3925889999999999,0.534041,0.4580689999999999,0.4191012978553772,0.303955078125,0.409912109375
193,1FHU_A_3U9I_A_2_5,1FHU_A,0.215625,0.340625,0.909375,0.215625,0.334375,0.909375,28254.173828125,79141.2109375,1.50298193285,0.423349,0.414335,0.586622,0.491476,0.4649223387241364,0.319091796875,0.426025390625
194,1FHU_A_1JPD_X_2_5,1FHU_A,0.2125,0.365625,0.903125,0.20625,0.35625,0.9,28108.1015625,91309.046875,1.4204110616799999,0.4136069999999999,0.44701,0.614987,0.499853,0.4217299520969391,0.332763671875,0.399169921875
195,1FHU_A_4GFI_A_1_4,1FHU_A,0.21875,0.340625,0.803125,0.21875,0.340625,0.803125,25622.21875,71022.015625,1.4166486599399999,0.323499,0.293612,0.4265989999999999,0.344078,0.3346843719482422,0.25634765625,0.35888671875
196,1FHU_A_4GFI_A_1_1,1FHU_A,0.21875,0.340625,0.803125,0.21875,0.340625,0.803125,25418.822265625,65764.34375,1.3896461871599999,0.333005,0.304965,0.4503359999999999,0.3628099999999999,0.3640144765377045,0.26416015625,0.362060546875
197,1FHU_A_1WUE_A_2_2,1FHU_A,0.20625,0.36875,0.88125,0.20625,0.36875,0.88125,27517.7734375,88108.8203125,1.4407400338299998,0.374695,0.421062,0.544563,0.442478,0.3706180453300476,0.3154296875,0.421630859375
198,1FHU_A_2PS2_A_3_1,1FHU_A,0.165625,0.31875,0.88125,0.1625,0.3125,0.88125,25604.69140625,27872.025390625,1.4183050502,0.48618100000000003,0.467923,0.5410699999999999,0.481263,0.5224148631095886,0.281494140625,0.408203125
199,1FHU_A_1WUE_A_3_5,1FHU_A,0.196875,0.378125,0.95,0.196875,0.378125,0.95,29303.228515625,92836.4921875,1.53101609746,0.488989,0.53161,0.651868,0.5443100000000001,0.5210247039794922,0.347900390625,0.44287109375
200,1FHU_A_4E8G_A_3_1,1FHU_A,0.18125,0.296875,0.953125,0.175,0.2875,0.953125,28668.423828125,53815.88671875,1.47617655636,0.4612279999999999,0.509024,0.565929,0.543131,0.5189399719238281,0.317138671875,0.42724609375
201,1FHU_A_3H7V_A_2_1,1FHU_A,0.215625,0.390625,0.865625,0.215625,0.390625,0.865625,26871.30078125,84902.0078125,1.3941878692899998,0.39466100000000004,0.4247979999999999,0.5708300000000001,0.47925100000000004,0.384526789188385,0.318115234375,0.3974609375
202,1FHU_A_2OZT_A_2_4,1FHU_A,0.215625,0.390625,0.865625,0.215625,0.390625,0.865625,26517.03125,80176.34375,1.40868259648,0.391673,0.41899200000000003,0.531309,0.459933,0.3677233755588532,0.336669921875,0.4052734375
203,1FHU_A_4E8G_A_3_5,1FHU_A,0.18125,0.296875,0.953125,0.175,0.2875,0.953125,28464.724609375,32987.1796875,1.40831916049,0.4401989999999999,0.50668,0.5413979999999999,0.534285,0.5180805325508118,0.312744140625,0.43310546875
204,1FHU_A_3JVA_A_3_2,1FHU_A,0.215625,0.359375,0.90625,0.215625,0.359375,0.90625,28849.369140625,66525.9375,1.4999837191,0.4701689999999999,0.480513,0.615321,0.540082,0.6094461679458618,0.356689453125,0.462158203125
205,1FHU_A_3DFY_A_3_4,1FHU_A,0.225,0.365625,0.925,0.225,0.359375,0.915625,29123.466796875,87065.71875,1.4259620500999999,0.451779,0.428849,0.612342,0.5175270000000001,0.3935002684593201,0.33056640625,0.396728515625
206,1FHU_A_1JPM_A_3_2,1FHU_A,0.2,0.353125,0.93125,0.2,0.353125,0.93125,29379.380859375,69095.65625,1.48404871886,0.493771,0.534416,0.619458,0.565037,0.5902010798454285,0.34130859375,0.4638671875
207,1FHU_A_3JVA_A_3_1,1FHU_A,0.215625,0.359375,0.90625,0.215625,0.359375,0.90625,29292.845703125,45530.77734375,1.51060853493,0.48382700000000006,0.531163,0.589244,0.552897,0.5929417610168457,0.35009765625,0.46044921875
208,1FHU_A_3DFY_A_3_3,1FHU_A,0.225,0.365625,0.925,0.225,0.359375,0.915625,29231.91796875,77676.6328125,1.4360274845200005,0.4719819999999999,0.51454,0.64646,0.5699390000000001,0.4063073098659515,0.310302734375,0.405517578125
209,1FHU_A_4GFI_A_2_3,1FHU_A,0.2375,0.3625,0.859375,0.2375,0.3625,0.859375,26278.646484375,54830.9375,1.42485127113,0.324182,0.316052,0.439007,0.36687600000000004,0.36622685194015503,0.26904296875,0.365966796875
210,1FHU_A_3DFY_A_3_2,1FHU_A,0.225,0.365625,0.925,0.225,0.359375,0.915625,29067.111328125,74448.4453125,1.42666846785,0.434051,0.422505,0.620947,0.516548,0.4058554768562317,0.312744140625,0.391845703125
211,1FHU_A_4GFI_A_2_2,1FHU_A,0.2375,0.3625,0.859375,0.2375,0.3625,0.859375,26714.5859375,66678.0078125,1.4173584014899998,0.354207,0.351101,0.471542,0.39985,0.3667606413364409,0.273193359375,0.369873046875
212,1FHU_A_3JVA_A_3_3,1FHU_A,0.215625,0.359375,0.90625,0.215625,0.359375,0.90625,28663.8515625,50102.953125,1.4392136444799999,0.45699300000000004,0.4961859999999999,0.592885,0.541597,0.5822644233703613,0.343994140625,0.459228515625
213,1FHU_A_1JPM_A_3_1,1FHU_A,0.2,0.353125,0.93125,0.2,0.353125,0.93125,29009.9453125,79647.6171875,1.4569999900100001,0.461163,0.521061,0.6215970000000001,0.532107,0.5919199585914612,0.35595703125,0.4658203125
214,1FHU_A_3DFY_A_3_1,1FHU_A,0.225,0.365625,0.925,0.225,0.359375,0.915625,28768.048828125,74594.0,1.41085629882,0.4320279999999999,0.427555,0.578285,0.486075,0.3842915594577789,0.316162109375,0.396484375
