,Model,Target,Template,GDT_TS,GDT_HA,SeqLength,identity,positive,coverage,identity(-misres),positive(-misres),coverage(-misres),num_misres
133,1FHU_A_3JVA_A_2_5,1FHU_A,3JVA_A_2,0.4564,0.2836,320,72,121,290,72,121,290,0
134,1FHU_A_1SJA_A_3_2,1FHU_A,1SJA_A_3,0.557,0.3398,320,67,107,310,67,107,310,0
135,1FHU_A_3GC2_A_1_4,1FHU_A,3GC2_A_1,0.9807,0.8767,320,276,291,319,276,291,319,5
136,1FHU_A_2P88_A_3_2,1FHU_A,2P88_A_3,0.4916,0.3037,320,55,104,278,55,104,278,0
137,1FHU_A_2FKP_A_3_4,1FHU_A,2FKP_A_3,0.5763,0.37,320,52,102,304,52,102,304,10
138,1FHU_A_3IJI_A_2_3,1FHU_A,3IJI_A_2,0.4513,0.2735,320,60,110,269,60,110,269,0
139,1FHU_A_1WUF_A_3_4,1FHU_A,1WUF_A_3,0.5495,0.349,320,54,114,299,54,114,299,0
140,1FHU_A_1JPD_X_2_1,1FHU_A,1JPD_X_2,0.4832,0.2819,320,68,117,289,66,114,288,7
141,1FHU_A_2FKP_A_3_1,1FHU_A,2FKP_A_3,0.5822,0.3742,320,52,102,304,52,102,304,10
142,1FHU_A_2FKP_A_3_2,1FHU_A,2FKP_A_3,0.5696,0.3633,320,52,102,304,52,102,304,10
143,1FHU_A_5OLC_A_3_2,1FHU_A,5OLC_A_3,0.4673,0.2768,320,57,112,302,57,111,302,25
144,1FHU_A_3DES_A_3_3,1FHU_A,3DES_A_3,0.4883,0.3062,320,72,117,296,72,117,296,0
145,1FHU_A_4MGG_A_3_5,1FHU_A,4MGG_A_3,0.4782,0.2961,320,56,107,278,56,107,278,0
146,1FHU_A_4IZG_A_3_1,1FHU_A,4IZG_A_3,0.5369,0.32799999999999996,320,58,97,305,58,97,305,0
147,1FHU_A_4MGG_A_3_3,1FHU_A,4MGG_A_3,0.4572,0.2768,320,56,107,278,56,107,278,0
148,1FHU_A_1JPD_X_2_2,1FHU_A,1JPD_X_2,0.4866,0.2836,320,68,117,289,66,114,288,7
149,1FHU_A_3Q45_A_3_4,1FHU_A,3Q45_A_3,0.5789,0.3758,320,61,108,301,61,108,301,0
150,1FHU_A_4MGG_A_3_2,1FHU_A,4MGG_A_3,0.4681,0.2844,320,56,107,278,56,107,278,0
151,1FHU_A_3R0K_A_2_2,1FHU_A,3R0K_A_2,0.5428,0.3456,320,59,115,284,58,114,284,15
152,1FHU_A_3U9I_A_2_3,1FHU_A,3U9I_A_2,0.5461,0.3507,320,69,109,291,69,107,291,20
153,1FHU_A_3IJI_A_2_4,1FHU_A,3IJI_A_2,0.4455,0.2693,320,60,110,269,60,110,269,0
154,1FHU_A_2P88_A_3_1,1FHU_A,2P88_A_3,0.4899,0.302,320,55,104,278,55,104,278,0
155,1FHU_A_4IZG_A_3_4,1FHU_A,4IZG_A_3,0.5268,0.3154,320,58,97,305,58,97,305,0
156,1FHU_A_3U9I_A_2_4,1FHU_A,3U9I_A_2,0.5512,0.3507,320,69,109,291,69,107,291,20
157,1FHU_A_1WUE_A_2_3,1FHU_A,1WUE_A_2,0.5545,0.354,320,66,118,282,66,118,282,0
158,1FHU_A_4IZG_A_3_3,1FHU_A,4IZG_A_3,0.5285,0.3163,320,58,97,305,58,97,305,0
159,1FHU_A_3U9I_A_2_2,1FHU_A,3U9I_A_2,0.5487,0.3473,320,69,109,291,69,107,291,20
160,1FHU_A_5OLC_A_3_4,1FHU_A,5OLC_A_3,0.45299999999999996,0.2643,320,57,112,302,57,111,302,25
161,1FHU_A_2PS2_A_3_4,1FHU_A,2PS2_A_3,0.4933,0.3062,320,53,102,282,52,100,282,7
162,1FHU_A_5OLC_A_3_3,1FHU_A,5OLC_A_3,0.4488,0.2609,320,57,112,302,57,111,302,25
163,1FHU_A_2P88_A_3_3,1FHU_A,2P88_A_3,0.4874,0.2987,320,55,104,278,55,104,278,0
164,1FHU_A_1SJA_A_3_3,1FHU_A,1SJA_A_3,0.5663,0.3507,320,67,107,310,67,107,310,0
165,1FHU_A_2P88_A_3_4,1FHU_A,2P88_A_3,0.479,0.2919,320,55,104,278,55,104,278,0
166,1FHU_A_1WUF_A_3_5,1FHU_A,1WUF_A_3,0.5503,0.349,320,54,114,299,54,114,299,0
167,1FHU_A_4IZG_A_3_5,1FHU_A,4IZG_A_3,0.5268,0.3154,320,58,97,305,58,97,305,0
168,1FHU_A_4GFI_A_1_2,1FHU_A,4GFI_A_1,0.4329,0.2559,320,70,109,257,70,109,257,0
169,1FHU_A_3JVA_A_2_3,1FHU_A,3JVA_A_2,0.4388,0.2659,320,72,121,290,72,121,290,0
170,1FHU_A_3GC2_A_1_1,1FHU_A,3GC2_A_1,0.9715,0.8498,320,276,291,319,276,291,319,5
171,1FHU_A_2QDD_A_2_5,1FHU_A,2QDD_A_2,0.406,0.2332,320,71,115,283,70,114,283,2
172,1FHU_A_3GC2_A_1_3,1FHU_A,3GC2_A_1,0.9589,0.8314,320,276,291,319,276,291,319,5
173,1FHU_A_3IJI_A_2_5,1FHU_A,3IJI_A_2,0.4597,0.2861,320,60,110,269,60,110,269,0
174,1FHU_A_1WUE_A_2_1,1FHU_A,1WUE_A_2,0.5529,0.3515,320,66,118,282,66,118,282,0
175,1FHU_A_4GFI_A_1_3,1FHU_A,4GFI_A_1,0.4471,0.2693,320,70,109,257,70,109,257,0
176,1FHU_A_4GFI_A_1_5,1FHU_A,4GFI_A_1,0.4362,0.2576,320,70,109,257,70,109,257,0
177,1FHU_A_3DES_A_3_4,1FHU_A,3DES_A_3,0.4975,0.3138,320,72,117,296,72,117,296,0
178,1FHU_A_1WUF_A_3_1,1FHU_A,1WUF_A_3,0.547,0.3431,320,54,114,299,54,114,299,0
179,1FHU_A_3R0K_A_2_1,1FHU_A,3R0K_A_2,0.5285,0.3322,320,59,115,284,58,114,284,15
180,1FHU_A_3Q45_A_3_1,1FHU_A,3Q45_A_3,0.5847,0.3826,320,61,108,301,61,108,301,0
181,1FHU_A_1SJA_A_3_1,1FHU_A,1SJA_A_3,0.5629,0.3482,320,67,107,310,67,107,310,0
182,1FHU_A_1SJA_A_3_4,1FHU_A,1SJA_A_3,0.5596,0.3448,320,67,107,310,67,107,310,0
183,1FHU_A_1SJA_A_3_5,1FHU_A,1SJA_A_3,0.5612,0.3448,320,67,107,310,67,107,310,0
184,1FHU_A_3U9I_A_2_1,1FHU_A,3U9I_A_2,0.5445,0.3456,320,69,109,291,69,107,291,20
185,1FHU_A_1WUE_A_2_4,1FHU_A,1WUE_A_2,0.5638,0.3658,320,66,118,282,66,118,282,0
186,1FHU_A_5OLC_A_3_5,1FHU_A,5OLC_A_3,0.4656,0.276,320,57,112,302,57,111,302,25
187,1FHU_A_1JPD_X_2_3,1FHU_A,1JPD_X_2,0.4782,0.276,320,68,117,289,66,114,288,7
188,1FHU_A_3R0K_A_2_5,1FHU_A,3R0K_A_2,0.5419,0.3473,320,59,115,284,58,114,284,15
189,1FHU_A_1JPM_A_2_5,1FHU_A,1JPM_A_2,0.4044,0.2374,320,64,113,272,64,113,272,0
190,1FHU_A_4MGG_A_3_1,1FHU_A,4MGG_A_3,0.4841,0.3003,320,56,107,278,56,107,278,0
191,1FHU_A_1JPD_X_2_4,1FHU_A,1JPD_X_2,0.4765,0.2743,320,68,117,289,66,114,288,7
192,1FHU_A_3JVA_A_2_4,1FHU_A,3JVA_A_2,0.4446,0.2727,320,72,121,290,72,121,290,0
193,1FHU_A_3U9I_A_2_5,1FHU_A,3U9I_A_2,0.5336,0.3339,320,69,109,291,69,107,291,20
194,1FHU_A_1JPD_X_2_5,1FHU_A,1JPD_X_2,0.479,0.2768,320,68,117,289,66,114,288,7
195,1FHU_A_4GFI_A_1_4,1FHU_A,4GFI_A_1,0.4446,0.2659,320,70,109,257,70,109,257,0
196,1FHU_A_4GFI_A_1_1,1FHU_A,4GFI_A_1,0.4446,0.2659,320,70,109,257,70,109,257,0
197,1FHU_A_1WUE_A_2_2,1FHU_A,1WUE_A_2,0.5621,0.3599,320,66,118,282,66,118,282,0
198,1FHU_A_2PS2_A_3_1,1FHU_A,2PS2_A_3,0.4824,0.2945,320,53,102,282,52,100,282,7
199,1FHU_A_1WUE_A_3_5,1FHU_A,1WUE_A_3,0.5872,0.3716,320,63,121,304,63,121,304,0
200,1FHU_A_4E8G_A_3_1,1FHU_A,4E8G_A_3,0.5294,0.3205,320,58,95,305,56,92,305,20
201,1FHU_A_3H7V_A_2_1,1FHU_A,3H7V_A_2,0.4824,0.2794,320,69,125,277,69,125,277,2
202,1FHU_A_2OZT_A_2_4,1FHU_A,2OZT_A_2,0.4832,0.2844,320,69,125,277,69,125,277,2
203,1FHU_A_4E8G_A_3_5,1FHU_A,4E8G_A_3,0.5151,0.3054,320,58,95,305,56,92,305,20
204,1FHU_A_3JVA_A_3_2,1FHU_A,3JVA_A_3,0.5503,0.3549,320,69,115,290,69,115,290,0
205,1FHU_A_3DFY_A_3_4,1FHU_A,3DFY_A_3,0.4958,0.3129,320,72,117,296,72,115,293,3
206,1FHU_A_1JPM_A_3_2,1FHU_A,1JPM_A_3,0.5419,0.3414,320,64,113,298,64,113,298,0
207,1FHU_A_3JVA_A_3_1,1FHU_A,3JVA_A_3,0.5529,0.354,320,69,115,290,69,115,290,0
208,1FHU_A_3DFY_A_3_3,1FHU_A,3DFY_A_3,0.5017,0.318,320,72,117,296,72,115,293,3
209,1FHU_A_4GFI_A_2_3,1FHU_A,4GFI_A_2,0.45299999999999996,0.2727,320,76,116,275,76,116,275,0
210,1FHU_A_3DFY_A_3_2,1FHU_A,3DFY_A_3,0.4983,0.318,320,72,117,296,72,115,293,3
211,1FHU_A_4GFI_A_2_2,1FHU_A,4GFI_A_2,0.45299999999999996,0.2718,320,76,116,275,76,116,275,0
212,1FHU_A_3JVA_A_3_3,1FHU_A,3JVA_A_3,0.5478,0.3532,320,69,115,290,69,115,290,0
213,1FHU_A_1JPM_A_3_1,1FHU_A,1JPM_A_3,0.5445,0.3431,320,64,113,298,64,113,298,0
214,1FHU_A_3DFY_A_3_1,1FHU_A,3DFY_A_3,0.4975,0.3146,320,72,117,296,72,115,293,3
215,1FHU_A_1WUE_A_3_1,1FHU_A,1WUE_A_3,0.5906,0.3725,320,63,121,304,63,121,304,0
216,1FHU_A_1WUE_A_3_4,1FHU_A,1WUE_A_3,0.5831,0.3666,320,63,121,304,63,121,304,0
217,1FHU_A_1WUE_A_3_2,1FHU_A,1WUE_A_3,0.5847,0.3691,320,63,121,304,63,121,304,0
218,1FHU_A_3JVA_A_3_5,1FHU_A,3JVA_A_3,0.552,0.354,320,69,115,290,69,115,290,0
219,1FHU_A_4E8G_A_3_4,1FHU_A,4E8G_A_3,0.5193,0.3104,320,58,95,305,56,92,305,20
220,1FHU_A_1JPM_A_3_5,1FHU_A,1JPM_A_3,0.5185,0.3205,320,64,113,298,64,113,298,0
221,1FHU_A_3H7V_A_2_5,1FHU_A,3H7V_A_2,0.4799,0.2836,320,69,125,277,69,125,277,2
222,1FHU_A_4E8G_A_3_2,1FHU_A,4E8G_A_3,0.5218,0.3104,320,58,95,305,56,92,305,20
223,1FHU_A_4GFI_A_2_1,1FHU_A,4GFI_A_2,0.4606,0.2819,320,76,116,275,76,116,275,0
224,1FHU_A_2OZT_A_2_3,1FHU_A,2OZT_A_2,0.4966,0.2961,320,69,125,277,69,125,277,2
225,1FHU_A_3H7V_A_2_2,1FHU_A,3H7V_A_2,0.479,0.2785,320,69,125,277,69,125,277,2
226,1FHU_A_2OZT_A_2_5,1FHU_A,2OZT_A_2,0.4857,0.2878,320,69,125,277,69,125,277,2
227,1FHU_A_1JPM_A_3_4,1FHU_A,1JPM_A_3,0.5411,0.3389,320,64,113,298,64,113,298,0
228,1FHU_A_4GFI_A_2_4,1FHU_A,4GFI_A_2,0.4564,0.2752,320,76,116,275,76,116,275,0
229,1FHU_A_3DFY_A_3_5,1FHU_A,3DFY_A_3,0.4975,0.3129,320,72,117,296,72,115,293,3
230,1FHU_A_2OZT_A_2_1,1FHU_A,2OZT_A_2,0.4857,0.2819,320,69,125,277,69,125,277,2
231,1FHU_A_3H7V_A_2_4,1FHU_A,3H7V_A_2,0.4824,0.2794,320,69,125,277,69,125,277,2
232,1FHU_A_4GFI_A_2_5,1FHU_A,4GFI_A_2,0.4564,0.2752,320,76,116,275,76,116,275,0
233,1FHU_A_1JPM_A_3_3,1FHU_A,1JPM_A_3,0.5461,0.344,320,64,113,298,64,113,298,0
234,1FHU_A_3JVA_A_3_4,1FHU_A,3JVA_A_3,0.5294,0.3347,320,69,115,290,69,115,290,0
235,1FHU_A_3H7V_A_2_3,1FHU_A,3H7V_A_2,0.4883,0.2894,320,69,125,277,69,125,277,2
236,1FHU_A_2OZT_A_2_2,1FHU_A,2OZT_A_2,0.4883,0.2869,320,69,125,277,69,125,277,2
237,1FHU_A_4E8G_A_3_3,1FHU_A,4E8G_A_3,0.5126,0.3045,320,58,95,305,56,92,305,20
238,1FHU_A_1WUE_A_3_3,1FHU_A,1WUE_A_3,0.5914,0.375,320,63,121,304,63,121,304,0
239,1GU7_A_2VCY_A_1_4,1GU7_A,2VCY_A_1,0.6724,0.4966,364,131,190,325,131,190,325,0
240,1GU7_A_3JYL_A_2_4,1GU7_A,3JYL_A_2,0.4231,0.2637,364,54,101,277,54,101,276,1
241,1GU7_A_3JYL_A_2_5,1GU7_A,3JYL_A_2,0.4265,0.2679,364,54,101,277,54,101,276,1
242,1GU7_A_2EIH_A_1_4,1GU7_A,2EIH_A_1,0.4238,0.263,364,83,130,324,83,130,324,0
243,1GU7_A_3JYL_A_2_2,1GU7_A,3JYL_A_2,0.4196,0.261,364,54,101,277,54,101,276,1
244,1GU7_A_1RJW_A_2_5,1GU7_A,1RJW_A_2,0.4203,0.2555,364,69,125,336,69,125,336,0
245,1GU7_A_5K1S_A_3_5,1GU7_A,5K1S_A_3,0.4437,0.2768,364,66,118,353,66,118,353,0
246,1GU7_A_3JYL_A_2_3,1GU7_A,3JYL_A_2,0.4286,0.2679,364,54,101,277,54,101,276,1
247,1GU7_A_5K1S_A_3_3,1GU7_A,5K1S_A_3,0.4334,0.2658,364,66,118,353,66,118,353,0
248,1GU7_A_2VCY_A_1_2,1GU7_A,2VCY_A_1,0.6525,0.4746,364,131,190,325,131,190,325,0
249,1GU7_A_5K1S_A_3_1,1GU7_A,5K1S_A_3,0.4416,0.2775,364,66,118,353,66,118,353,0
250,1GU7_A_4EEX_A_3_4,1GU7_A,4EEX_A_3,0.4025,0.237,364,65,123,350,65,123,349,1
251,1GU7_A_3PI7_A_1_2,1GU7_A,3PI7_A_1,0.4238,0.2603,364,76,131,308,75,130,308,8
252,1GU7_A_4EEX_A_3_5,1GU7_A,4EEX_A_3,0.4045,0.2397,364,65,123,350,65,123,349,1
253,1GU7_A_5A3J_A_1_3,1GU7_A,5A3J_A_1,0.4052,0.2486,364,84,132,325,84,132,325,0
254,1GU7_A_3PI7_A_1_3,1GU7_A,3PI7_A_1,0.4251,0.2624,364,76,131,308,75,130,308,8
255,1GU7_A_2VCY_A_1_3,1GU7_A,2VCY_A_1,0.6456,0.4684,364,131,190,325,131,190,325,0
256,1GU7_A_1YB5_A_2_1,1GU7_A,1YB5_A_2,0.4725,0.27399999999999997,364,75,130,346,75,130,346,0
257,1GU7_A_3GMS_A_1_2,1GU7_A,3GMS_A_1,0.4327,0.2788,364,81,127,277,81,127,277,0
258,1GU7_A_3PI7_A_1_5,1GU7_A,3PI7_A_1,0.4361,0.27399999999999997,364,76,131,308,75,130,308,8
259,1GU7_A_2EIH_A_1_2,1GU7_A,2EIH_A_1,0.4114,0.2514,364,83,130,324,83,130,324,0
260,1GU7_A_1RJW_A_2_4,1GU7_A,1RJW_A_2,0.4265,0.2582,364,69,125,336,69,125,336,0
261,1GU7_A_3GMS_A_1_1,1GU7_A,3GMS_A_1,0.4437,0.2912,364,81,127,277,81,127,277,0
262,1GU7_A_4EEX_A_3_1,1GU7_A,4EEX_A_3,0.4018,0.2356,364,65,123,350,65,123,349,1
263,1GU7_A_5K1S_A_3_4,1GU7_A,5K1S_A_3,0.4588,0.2891,364,66,118,353,66,118,353,0
264,1GU7_A_3PI7_A_1_4,1GU7_A,3PI7_A_1,0.4265,0.2617,364,76,131,308,75,130,308,8
265,1GU7_A_2VCY_A_1_1,1GU7_A,2VCY_A_1,0.6738,0.4938,364,131,190,325,131,190,325,0
266,1GU7_A_5A3J_A_1_1,1GU7_A,5A3J_A_1,0.4183,0.2576,364,84,132,325,84,132,325,0
267,1GU7_A_1YB5_A_2_3,1GU7_A,1YB5_A_2,0.4828,0.2788,364,75,130,346,75,130,346,0
268,1GU7_A_1RJW_A_2_3,1GU7_A,1RJW_A_2,0.4272,0.2582,364,69,125,336,69,125,336,0
269,1GU7_A_2EIH_A_1_3,1GU7_A,2EIH_A_1,0.4093,0.2438,364,83,130,324,83,130,324,0
270,1GU7_A_4EEX_A_3_3,1GU7_A,4EEX_A_3,0.4066,0.2418,364,65,123,350,65,123,349,1
271,1GU7_A_1RJW_A_2_1,1GU7_A,1RJW_A_2,0.419,0.2493,364,69,125,336,69,125,336,0
272,1GU7_A_5A3J_A_1_5,1GU7_A,5A3J_A_1,0.4032,0.2479,364,84,132,325,84,132,325,0
273,1GU7_A_3GMS_A_1_5,1GU7_A,3GMS_A_1,0.4416,0.2878,364,81,127,277,81,127,277,0
274,1GU7_A_2VCY_A_1_5,1GU7_A,2VCY_A_1,0.6573,0.4842,364,131,190,325,131,190,325,0
275,1GU7_A_3GMS_A_1_4,1GU7_A,3GMS_A_1,0.4183,0.263,364,81,127,277,81,127,277,0
276,1GU7_A_1YB5_A_2_4,1GU7_A,1YB5_A_2,0.4753,0.2782,364,75,130,346,75,130,346,0
277,1GU7_A_5K1S_A_3_2,1GU7_A,5K1S_A_3,0.4499,0.28300000000000003,364,66,118,353,66,118,353,0
278,1GU7_A_3GMS_A_1_3,1GU7_A,3GMS_A_1,0.4368,0.2878,364,81,127,277,81,127,277,0
279,1GU7_A_4JBG_A_2_2,1GU7_A,4JBG_A_2,0.4004,0.2349,364,70,121,344,70,121,344,0
280,1GU7_A_3PI7_A_1_1,1GU7_A,3PI7_A_1,0.4361,0.2699,364,76,131,308,75,130,308,8
281,1GU7_A_1RJW_A_2_2,1GU7_A,1RJW_A_2,0.4183,0.2507,364,69,125,336,69,125,336,0
282,1GU7_A_2EIH_A_1_5,1GU7_A,2EIH_A_1,0.4066,0.2438,364,83,130,324,83,130,324,0
283,1GU7_A_1YB5_A_2_5,1GU7_A,1YB5_A_2,0.4842,0.2823,364,75,130,346,75,130,346,0
284,1GU7_A_5A3J_A_1_2,1GU7_A,5A3J_A_1,0.4141,0.2521,364,84,132,325,84,132,325,0
285,1GU7_A_1YB5_A_2_2,1GU7_A,1YB5_A_2,0.4808,0.2809,364,75,130,346,75,130,346,0
286,1GU7_A_4EEX_A_3_2,1GU7_A,4EEX_A_3,0.4045,0.2383,364,65,123,350,65,123,349,1
287,1GU7_A_2EIH_A_1_1,1GU7_A,2EIH_A_1,0.4066,0.2445,364,83,130,324,83,130,324,0
288,1GU7_A_3JYL_A_2_1,1GU7_A,3JYL_A_2,0.4025,0.2541,364,54,101,277,54,101,276,1
289,1GU7_A_3GMS_A_2_1,1GU7_A,3GMS_A_2,0.4444,0.2905,364,81,126,278,81,126,278,0
290,1GU7_A_1RJW_A_3_2,1GU7_A,1RJW_A_3,0.4169,0.2466,364,68,123,335,68,123,335,0
291,1GU7_A_2EIH_A_3_4,1GU7_A,2EIH_A_3,0.44299999999999995,0.2644,364,69,118,358,69,118,358,0
292,1GU7_A_3S1L_A_3_3,1GU7_A,3S1L_A_3,0.4052,0.2356,364,67,109,332,67,109,332,0
293,1GU7_A_2VCY_A_2_1,1GU7_A,2VCY_A_2,0.715,0.5268,364,135,199,359,135,199,359,0
294,1GU7_A_3GMS_A_2_5,1GU7_A,3GMS_A_2,0.4368,0.2864,364,81,126,278,81,126,278,0
295,1GU7_A_2VCY_A_2_2,1GU7_A,2VCY_A_2,0.7129,0.5268,364,135,199,359,135,199,359,0
296,1GU7_A_2VCY_A_2_5,1GU7_A,2VCY_A_2,0.7129,0.5282,364,135,199,359,135,199,359,0
297,1GU7_A_2EIH_A_2_4,1GU7_A,2EIH_A_2,0.4574,0.28300000000000003,364,77,124,347,77,124,347,0
298,1GU7_A_1RJW_A_3_1,1GU7_A,1RJW_A_3,0.4176,0.2507,364,68,123,335,68,123,335,0
299,1GU7_A_3GMS_A_2_2,1GU7_A,3GMS_A_2,0.4341,0.285,364,81,126,278,81,126,278,0
300,1GU7_A_2EIH_A_3_2,1GU7_A,2EIH_A_3,0.4512,0.2754,364,69,118,358,69,118,358,0
301,1GU7_A_2VCY_A_2_4,1GU7_A,2VCY_A_2,0.7170000000000001,0.5227,364,135,199,359,135,199,359,0
302,1GU7_A_3PII_A_3_1,1GU7_A,3PII_A_3,0.4293,0.2617,364,68,122,335,68,122,335,0
303,1GU7_A_1ZSY_A_2_5,1GU7_A,1ZSY_A_2,0.6896,0.5021,364,139,202,359,139,202,359,0
304,1GU7_A_3GMS_A_2_3,1GU7_A,3GMS_A_2,0.4402,0.2912,364,81,126,278,81,126,278,0
305,1GU7_A_2EIH_A_3_1,1GU7_A,2EIH_A_3,0.4423,0.2637,364,69,118,358,69,118,358,0
306,1GU7_A_1ZSY_A_1_3,1GU7_A,1ZSY_A_1,0.6827,0.5089,364,131,190,325,131,190,325,0
307,1GU7_A_3PII_A_3_5,1GU7_A,3PII_A_3,0.4176,0.2452,364,68,122,335,68,122,335,0
308,1GU7_A_6IQD_A_3_3,1GU7_A,6IQD_A_3,0.4011,0.2356,364,67,120,345,67,120,345,0
309,1GU7_A_1RJW_A_3_3,1GU7_A,1RJW_A_3,0.4087,0.2418,364,68,123,335,68,123,335,0
310,1GU7_A_2EIH_A_2_3,1GU7_A,2EIH_A_2,0.4499,0.2775,364,77,124,347,77,124,347,0
311,1GU7_A_1RJW_A_3_5,1GU7_A,1RJW_A_3,0.4162,0.2459,364,68,123,335,68,123,335,0
312,1GU7_A_3S1L_A_3_1,1GU7_A,3S1L_A_3,0.4011,0.2349,364,67,109,332,67,109,332,0
313,1GU7_A_1ZSY_A_2_2,1GU7_A,1ZSY_A_2,0.6882,0.5,364,139,202,359,139,202,359,0
314,1GU7_A_1ZSY_A_2_1,1GU7_A,1ZSY_A_2,0.6827,0.5007,364,139,202,359,139,202,359,0
315,1GU7_A_1RJW_A_3_4,1GU7_A,1RJW_A_3,0.4155,0.2473,364,68,123,335,68,123,335,0
316,1GU7_A_2EIH_A_2_5,1GU7_A,2EIH_A_2,0.4526,0.2754,364,77,124,347,77,124,347,0
317,1GU7_A_2EIH_A_2_1,1GU7_A,2EIH_A_2,0.4485,0.272,364,77,124,347,77,124,347,0
318,1GU7_A_2VCY_A_2_3,1GU7_A,2VCY_A_2,0.7033,0.5179,364,135,199,359,135,199,359,0
319,1GU7_A_1ZSY_A_1_5,1GU7_A,1ZSY_A_1,0.6868,0.5096,364,131,190,325,131,190,325,0
320,1GU7_A_3S1L_A_3_4,1GU7_A,3S1L_A_3,0.41,0.2438,364,67,109,332,67,109,332,0
321,1GU7_A_1ZSY_A_1_1,1GU7_A,1ZSY_A_1,0.6538,0.4794,364,131,190,325,131,190,325,0
322,1GU7_A_3GMS_A_2_4,1GU7_A,3GMS_A_2,0.4402,0.2891,364,81,126,278,81,126,278,0
323,1GU7_A_6IQD_A_3_5,1GU7_A,6IQD_A_3,0.4004,0.2328,364,67,120,345,67,120,345,0
324,1GU7_A_1ZSY_A_1_4,1GU7_A,1ZSY_A_1,0.6635,0.4911,364,131,190,325,131,190,325,0
325,1GU7_A_3S1L_A_3_2,1GU7_A,3S1L_A_3,0.408,0.2418,364,67,109,332,67,109,332,0
326,1GU7_A_3PII_A_3_3,1GU7_A,3PII_A_3,0.4128,0.2411,364,68,122,335,68,122,335,0
327,1GU7_A_1ZSY_A_1_2,1GU7_A,1ZSY_A_1,0.6593,0.4876,364,131,190,325,131,190,325,0
