,Target,SeqLength,IDs,Exptl.,resolution,R-factor,FreeRvalue,PDB_ID,Chain,DomainNum
32,3LYP_B,215,3LYPB,XRAY,1.6,0.18,0.21,3LYP,B,2
33,3NA5_A,570,3NA5A,XRAY,1.7,0.18,0.22,3NA5,A,4
34,3NYT_A,367,3NYTA,XRAY,1.301,0.19,0.22,3NYT,A,2
35,3P2T_A,196,3P2TA,XRAY,1.699,0.19,0.22,3P2T,A,2
36,3PFG_A,263,3PFGA,XRAY,1.349,0.18,0.21,3PFG,A,2
37,3PIU_A,435,3PIUA,XRAY,1.35,0.15,0.17,3PIU,A,2
38,3PJ0_A,359,3PJ0A,XRAY,1.8,0.16,0.2,3PJ0,A,2
39,3PPL_A,427,3PPLA,XRAY,1.25,0.11,0.12,3PPL,A,2
40,3QGU_B,449,3QGUB,XRAY,1.55,0.13,0.17,3QGU,B,2
41,3R2Q_A,202,3R2QA,XRAY,1.05,0.13,0.15,3R2Q,A,2
42,3SQZ_A,425,3SQZA,XRAY,1.2,0.14,0.15,3SQZ,A,2
43,3UCQ_A,655,3UCQA,XRAY,1.97,0.15,0.19,3UCQ,A,4
44,3V4C_A,528,3V4CA,XRAY,1.91,0.17,0.23,3V4C,A,2
45,3VQT_A,548,3VQTA,XRAY,1.8,0.18,0.22,3VQT,A,3
46,3VRD_B,401,3VRDB,XRAY,1.5,0.16,0.2,3VRD,B,3
47,3WS7_A,306,3WS7A,XRAY,1.18,0.17,0.19,3WS7,A,2
48,4A5S_A,740,4A5SA,XRAY,1.62,0.16,0.18,4A5S,A,2
49,4BVX_A,215,4BVXA,XRAY,1.6,0.22,0.25,4BVX,A,2
50,4C08_A,382,4C08A,XRAY,1.338,0.14,0.16,4C08,A,2
51,4C3S_A,445,4C3SA,XRAY,1.64,0.15,0.17,4C3S,A,2
52,4CFS_A,287,4CFSA,XRAY,1.94,0.17,0.2,4CFS,A,2
53,4D5C_A,206,4D5CA,XRAY,1.7,0.17,0.2,4D5C,A,2
54,4DCU_A,456,4DCUA,XRAY,2.0,0.21,0.26,4DCU,A,3
55,4EQ9_A,246,4EQ9A,XRAY,1.4,0.17,0.19,4EQ9,A,2
56,4EQB_A,330,4EQBA,XRAY,1.5,0.16,0.19,4EQB,A,2
57,4EQS_A,437,4EQSA,XRAY,1.5,0.18,0.2,4EQS,A,3
58,4EUO_A,320,4EUOA,XRAY,1.28,0.17,0.18,4EUO,A,2
59,4G68_A,456,4G68A,XRAY,1.8,0.23,0.26,4G68,A,2
60,4G8T_A,464,4G8TA,XRAY,1.7,0.15,0.18,4G8T,A,2
61,4H27_A,364,4H27A,XRAY,1.3,0.15,0.17,4H27,A,2
62,4HVK_A,382,4HVKA,XRAY,1.43,0.11,0.15,4HVK,A,2
63,4I8H_A,223,4I8HA,XRAY,0.75,0.1,0.11,4I8H,A,2
64,4IW9_A,231,4IW9A,XRAY,1.76,0.16,0.2,4IW9,A,2
65,4JBE_A,445,4JBEA,XRAY,1.95,0.17,0.21,4JBE,A,2
66,4JN7_A,395,4JN7A,XRAY,1.15,0.14,0.14,4JN7,A,2
67,4KQP_A,232,4KQPA,XRAY,0.95,0.12,0.12,4KQP,A,2
68,4LJ6_A,339,4LJ6A,XRAY,1.9,0.22,0.26,4LJ6,A,2
69,4MF5_A,256,4MF5A,XRAY,1.11,0.11,0.13,4MF5,A,2
70,4NTC_A,335,4NTCA,XRAY,1.9,0.19,0.22,4NTC,A,2
71,4PQH_A,236,4PQHA,XRAY,1.4,0.15,0.19,4PQH,A,2
72,4R6H_A,428,4R6HA,XRAY,1.5,0.17,0.2,4R6H,A,2
73,4RD4_A,415,4RD4A,XRAY,1.3,0.17,0.2,4RD4,A,3
74,4RY1_A,411,4RY1A,XRAY,1.4,0.14,0.18,4RY1,A,2
75,4TMX_A,345,4TMXA,XRAY,1.5,0.16,0.18,4TMX,A,2
76,4U19_A,276,4U19A,XRAY,1.88,0.19,0.23,4U19,A,2
77,4WLH_A,422,4WLHA,XRAY,1.28,0.17,0.19,4WLH,A,2
78,4WPG_A,289,4WPGA,XRAY,1.1,0.13,0.15,4WPG,A,2
79,4XH2_G,228,4XH2G,XRAY,2.0,0.23,0.26,4XH2,G,2
80,4YI8_A,201,4YI8A,XRAY,1.2,0.12,0.14,4YI8,A,2
81,4YKI_A,256,4YKIA,XRAY,1.21,0.14,0.16,4YKI,A,2
82,4YUC_A,335,4YUCA,XRAY,1.31,0.17,0.19,4YUC,A,2
83,5DP2_A,342,5DP2A,XRAY,0.96,0.12,0.13,5DP2,A,2
84,5DVI_A,419,5DVIA,XRAY,1.25,0.12,0.15,5DVI,A,2
85,5FS8_A,515,5FS8A,XRAY,1.4,0.17,0.19,5FS8,A,3
86,5GXE_A,331,5GXEA,XRAY,1.696,0.17,0.2,5GXE,A,2
87,5ICQ_A,610,5ICQA,XRAY,1.9,0.16,0.2,5ICQ,A,2
88,5IPY_A,453,5IPYA,XRAY,1.5,0.15,0.17,5IPY,A,2
89,5JRY_A,485,5JRYA,XRAY,1.2,0.11,0.13,5JRY,A,2
90,5K7F_A,231,5K7FA,XRAY,1.7,0.21,0.24,5K7F,A,2
91,5U3A_A,496,5U3AA,XRAY,0.95,0.11,0.12,5U3A,A,2
92,5V8S_A,410,5V8SA,XRAY,1.41,0.15,0.18,5V8S,A,2
93,5WJP_A,249,5WJPA,XRAY,1.57,0.18,0.21,5WJP,A,2
94,5Y9Z_A,199,5Y9ZA,XRAY,1.09,0.16,0.18,5Y9Z,A,2
95,6D0A_A,431,6D0AA,XRAY,1.4680000000000002,0.17,0.19,6D0A,A,2
96,6FME_B,506,6FMEB,XRAY,1.51,0.17,0.19,6FME,B,3
97,6G7N_A,318,6G7NA,XRAY,1.1,0.14,0.15,6G7N,A,2
98,6HOA_A,228,6HOAA,XRAY,1.5,0.19,0.21,6HOA,A,2
99,6RI6_A,498,6RI6A,XRAY,0.93,0.11,0.12,6RI6,A,3
