,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D
3V4C_A_3JZ4_C_1_1,0.280302,0.368316,0.41424799999999995,0.306083
3V4C_A_1A4Z_A_2_3,0.35406,0.5115270000000001,0.609577,0.471628
3V4C_A_5A2D_A_2_4,0.308214,0.44064899999999996,0.5427609999999999,0.40476
3V4C_A_1A4S_A_3_5,0.358087,0.51288,0.566271,0.4708
3V4C_A_4MPB_A_2_4,0.322838,0.476049,0.5218689999999999,0.42810200000000004
3V4C_A_1CW3_A_2_3,0.344568,0.486968,0.49604499999999996,0.451754
3V4C_A_4WB9_A_3_2,0.343337,0.49320200000000003,0.488983,0.4378
3V4C_A_4X2Q_A_3_2,0.348785,0.49834399999999995,0.510761,0.397023
3V4C_A_5GTK_A_3_3,0.35985500000000004,0.5139050000000001,0.622684,0.48514700000000005
3V4C_A_6ALJ_A_2_3,0.348733,0.46424399999999993,0.607433,0.46170600000000006
3V4C_A_4WB9_A_2_4,0.34107,0.506041,0.6255609999999999,0.47298999999999997
3V4C_A_4PZ2_A_2_4,0.383801,0.485749,0.637644,0.487075
3V4C_A_1EYY_A_1_3,0.438276,0.708603,0.787844,0.583763
3V4C_A_3JZ4_C_1_2,0.31616700000000003,0.42137299999999994,0.47708,0.366161
3V4C_A_3IWJ_A_3_5,0.327333,0.47380600000000006,0.43355299999999997,0.421624
3V4C_A_1EYY_A_2_2,0.45398299999999997,0.721514,0.783551,0.581028
3V4C_A_4PZ2_A_2_1,0.344439,0.497065,0.609751,0.47385600000000005
3V4C_A_1CW3_A_2_4,0.342758,0.485013,0.560714,0.451454
3V4C_A_4V3F_C_2_1,0.335946,0.44125299999999995,0.51,0.390396
3V4C_A_5ABM_A_3_4,0.363101,0.47575200000000006,0.624793,0.477153
3V4C_A_3IWJ_A_3_1,0.367568,0.480368,0.49136,0.429817
3V4C_A_4V3F_C_2_2,0.303671,0.440856,0.491058,0.393729
3V4C_A_1EYY_A_1_1,0.45045799999999997,0.715304,0.791733,0.5860270000000001
3V4C_A_1BI9_A_3_1,0.33005100000000004,0.487349,0.549125,0.441459
3V4C_A_4V3F_C_2_5,0.325606,0.472725,0.519185,0.42156899999999997
3V4C_A_6S6W_A_2_2,0.339821,0.4886,0.46643599999999996,0.387869
3V4C_A_1BI9_A_3_4,0.339097,0.502614,0.538243,0.415047
3V4C_A_5FHZ_A_3_1,0.32266,0.449916,0.47788400000000003,0.41261000000000003
3V4C_A_6ALJ_A_3_4,0.38045999999999996,0.511525,0.5871930000000001,0.48916800000000005
3V4C_A_1EYY_A_1_2,0.44227,0.707591,0.78719,0.579291
3V4C_A_4WB9_A_3_1,0.35173000000000004,0.48393400000000003,0.6177020000000001,0.46382299999999993
3V4C_A_4WJ9_A_2_2,0.35487399999999997,0.47934499999999997,0.534338,0.45388199999999995
3V4C_A_4WB9_A_3_5,0.368372,0.502988,0.620045,0.472433
3V4C_A_4WJ9_A_3_2,0.338293,0.46958,0.589634,0.4539
3V4C_A_6S6W_A_2_1,0.350838,0.48111499999999996,0.508322,0.409535
3V4C_A_1BXS_A_3_4,0.361559,0.500127,0.5362979999999999,0.47297799999999995
3V4C_A_4WB9_A_2_2,0.34492399999999995,0.47893900000000006,0.45728199999999997,0.423447
3V4C_A_3IWK_A_3_5,0.351058,0.494496,0.558584,0.463754
3V4C_A_5GTK_A_3_5,0.343316,0.501893,0.575814,0.45789399999999997
3V4C_A_5FHZ_A_3_4,0.322129,0.48165600000000003,0.601784,0.47843199999999997
3V4C_A_4A0M_A_2_1,0.320461,0.449705,0.51303,0.41206899999999996
3V4C_A_4GO3_A_3_5,0.36231199999999997,0.524652,0.587202,0.485231
3V4C_A_3IWK_A_3_2,0.366956,0.49630799999999997,0.544142,0.480704
3V4C_A_5X5T_A_1_4,0.208498,0.38743,0.363344,0.29834499999999997
3V4C_A_4PXL_B_3_3,0.31146399999999996,0.413749,0.498324,0.44087299999999996
3V4C_A_4A0M_A_1_1,0.266231,0.410969,0.417917,0.340776
3V4C_A_5X5T_A_1_1,0.211461,0.394377,0.372777,0.303408
3V4C_A_5U0L_A_1_3,0.32111799999999996,0.49128,0.606626,0.464758
3V4C_A_1A4Z_A_2_4,0.327793,0.514827,0.5967600000000001,0.479962
3V4C_A_4WJ9_A_3_3,0.334802,0.47505299999999995,0.574833,0.44739399999999996
3V4C_A_1EYY_A_2_4,0.440446,0.717925,0.788435,0.585756
3V4C_A_4A0M_A_2_2,0.312655,0.447474,0.507787,0.383375
3V4C_A_4A0M_A_2_5,0.309845,0.444621,0.489112,0.40635
3V4C_A_4DAL_A_1_1,0.22754699999999997,0.406698,0.372483,0.297454
3V4C_A_4DAL_A_1_4,0.22985,0.41252700000000003,0.387656,0.295212
3V4C_A_4WJ9_A_3_1,0.36690500000000004,0.49299399999999993,0.616101,0.459841
3V4C_A_1EYY_A_1_5,0.448862,0.705477,0.793343,0.592949
3V4C_A_4GO3_A_3_2,0.367773,0.5122220000000001,0.507807,0.478146
3V4C_A_3JZ4_C_1_5,0.324229,0.400962,0.445565,0.33673400000000003
3V4C_A_4WB9_A_3_3,0.332936,0.461851,0.523065,0.422808
3V4C_A_6ALJ_A_3_3,0.388651,0.522712,0.518162,0.475601
3V4C_A_3IWK_A_3_4,0.377707,0.507884,0.591039,0.486913
3V4C_A_4PXL_B_3_5,0.32729,0.44222700000000004,0.5572090000000001,0.445887
3V4C_A_4V37_A_2_1,0.303896,0.452759,0.4951,0.394083
3V4C_A_4KNA_A_1_1,0.285209,0.468872,0.47791999999999996,0.37760900000000003
3V4C_A_1EYY_A_2_1,0.427385,0.714609,0.788359,0.568947
3V4C_A_4WJ9_A_3_5,0.338446,0.45476700000000003,0.512768,0.443226
3V4C_A_4QYJ_A_3_4,0.339156,0.513293,0.577117,0.43836800000000004
3V4C_A_3IWJ_A_3_3,0.350565,0.477292,0.5725680000000001,0.443622
3V4C_A_1O9J_A_2_1,0.34163699999999997,0.5059739999999999,0.587404,0.456546
3V4C_A_4O6R_A_2_4,0.380591,0.518513,0.534248,0.476013
3V4C_A_4MPB_A_2_1,0.330308,0.49358500000000005,0.523096,0.42114399999999996
3V4C_A_3TY7_A_1_1,0.254782,0.361586,0.410682,0.319917
3V4C_A_1A4S_A_3_2,0.356348,0.492068,0.55184,0.464189
3V4C_A_6ALJ_A_3_1,0.382899,0.510717,0.487914,0.467592
3V4C_A_5U0L_A_1_1,0.316258,0.48563599999999996,0.586287,0.48030900000000004
3V4C_A_5A2D_A_2_5,0.329572,0.45025299999999996,0.512574,0.420087
3V4C_A_5U0L_A_1_4,0.314974,0.45751499999999995,0.589659,0.45775600000000005
3V4C_A_6S6W_A_3_5,0.334769,0.486266,0.519626,0.411764
3V4C_A_1O9J_A_2_5,0.35311,0.49358900000000006,0.575792,0.43708100000000005
3V4C_A_4WB9_A_2_5,0.353878,0.5016729999999999,0.454557,0.43792600000000004
3V4C_A_4V3F_C_2_4,0.301284,0.448114,0.500875,0.390691
3V4C_A_4NEA_A_2_3,0.340016,0.495123,0.542679,0.43103500000000006
3V4C_A_4QYJ_A_3_2,0.35885900000000004,0.516496,0.557315,0.46638199999999996
3V4C_A_4I9B_A_3_1,0.389866,0.521452,0.541065,0.502066
3V4C_A_4DAL_A_1_3,0.22695,0.438482,0.333831,0.298325
3V4C_A_4MPB_A_2_3,0.348798,0.493122,0.58427,0.451791
3V4C_A_4WJ9_A_3_4,0.320956,0.46629799999999993,0.6340140000000001,0.46408699999999997
3V4C_A_5X5T_A_1_3,0.199403,0.385183,0.35115,0.292364
3V4C_A_3TY7_A_1_4,0.26043099999999997,0.35725500000000004,0.373544,0.310293
3V4C_A_4WB9_A_2_1,0.332451,0.487839,0.620054,0.44394799999999995
3V4C_A_4A0M_A_2_4,0.326961,0.456716,0.5406380000000001,0.419362
3V4C_A_4A0M_A_1_4,0.27528400000000003,0.404713,0.416525,0.32961
3V4C_A_6S6W_A_3_2,0.32576700000000003,0.44975600000000004,0.497389,0.397483
3V4C_A_2WME_A_3_5,0.325924,0.47187399999999996,0.557307,0.439446
3V4C_A_4X2Q_A_3_5,0.325453,0.49192299999999994,0.483865,0.37788
3V4C_A_4V37_A_2_4,0.330989,0.472254,0.540738,0.426601
3V4C_A_4V3F_A_2_3,0.321689,0.45120699999999997,0.486178,0.39421999999999996
3V4C_A_1CW3_A_2_5,0.354771,0.47997399999999996,0.49652399999999997,0.432979
3V4C_A_5GTK_A_3_2,0.357075,0.526022,0.601089,0.465384
3V4C_A_5U0L_A_1_5,0.310701,0.45509099999999997,0.575888,0.451166
3V4C_A_4PXL_B_3_1,0.336326,0.444722,0.583287,0.469154
3V4C_A_3IWJ_A_3_2,0.337095,0.47414700000000004,0.5108199999999999,0.44510299999999997
3V4C_A_4GO3_A_3_4,0.363494,0.531486,0.564898,0.484788
3V4C_A_3TY7_A_1_3,0.251202,0.351719,0.382506,0.323361
3V4C_A_2WME_A_3_2,0.334302,0.46842799999999996,0.5568420000000001,0.437542
3V4C_A_1A4S_A_3_4,0.361715,0.51705,0.546543,0.473467
3V4C_A_3IWJ_A_3_4,0.390651,0.493733,0.6008720000000001,0.48668999999999996
3V4C_A_4I8P_A_2_4,0.328883,0.406719,0.5190640000000001,0.42328599999999994
3V4C_A_3TY7_A_1_5,0.284208,0.402853,0.419487,0.365617
3V4C_A_5ABM_A_3_1,0.366291,0.487717,0.639361,0.478433
3V4C_A_4WJ9_A_2_5,0.374361,0.486842,0.628807,0.483599
3V4C_A_4KNA_A_1_4,0.260481,0.456005,0.49364399999999997,0.35437199999999996
3V4C_A_5L2M_A_3_5,0.359634,0.48160600000000003,0.616112,0.477994
3V4C_A_1A4Z_A_2_2,0.323836,0.451586,0.585055,0.465157
3V4C_A_6S6W_A_2_4,0.358673,0.508287,0.5923609999999999,0.43472200000000005
3V4C_A_4DAL_A_1_2,0.250847,0.469584,0.41291700000000003,0.32593099999999997
3V4C_A_6S6W_A_3_1,0.346442,0.48909300000000006,0.5464760000000001,0.432366
3V4C_A_1BXS_A_2_2,0.341873,0.47398999999999997,0.512574,0.42924700000000005
3V4C_A_4I9B_A_3_3,0.373591,0.528777,0.609244,0.502406
3V4C_A_6VWF_A_3_1,0.298103,0.470049,0.43401000000000006,0.37603400000000003
3V4C_A_1EYY_A_2_5,0.465873,0.692654,0.799542,0.589191
3V4C_A_4QYJ_A_3_5,0.362154,0.49755900000000003,0.564448,0.446506
3V4C_A_1EYY_A_2_3,0.45415600000000006,0.697782,0.790743,0.5892609999999999
3V4C_A_1O9J_A_2_2,0.335055,0.488217,0.556602,0.42230200000000007
3V4C_A_4O6R_A_2_2,0.37848200000000004,0.500138,0.585841,0.482263
3V4C_A_5GTK_A_3_1,0.38819899999999996,0.5108729999999999,0.570697,0.48211000000000004
1FHU_A_1JPM_A_2_5,0.33571799999999996,0.384751,0.46243100000000004,0.384131
1FHU_A_2QDD_A_2_5,0.403888,0.39755100000000004,0.519018,0.42464799999999997
3AML_A_5CLT_A_1_5,0.567279,0.515789,0.827925,0.647795
3AML_A_4BZY_A_3_5,0.5585359999999999,0.5239199999999999,0.82239,0.633475
3AML_A_5CLT_A_3_5,0.580646,0.509768,0.8363649999999999,0.652319
3AML_A_5GR5_A_2_4,0.371314,0.39602,0.538266,0.370635
3AML_A_5GR0_A_2_4,0.378631,0.39908299999999997,0.574389,0.404531
3AML_A_5GQW_A_1_4,0.375183,0.365528,0.552932,0.35233000000000003
3AML_A_5GR5_A_3_2,0.40310100000000004,0.40557,0.6210600000000001,0.391098
3AML_A_5GQU_A_2_2,0.402539,0.39037,0.602287,0.424878
3AML_A_5GQW_A_2_2,0.38893099999999997,0.407925,0.5822039999999999,0.390855
3AML_A_5GQU_A_2_3,0.392728,0.404607,0.5836859999999999,0.393604
3AML_A_5GQW_A_2_3,0.38966300000000004,0.381683,0.6024970000000001,0.380822
3AML_A_5GQZ_A_3_5,0.421676,0.42878599999999994,0.622966,0.428117
3AML_A_5GR2_A_3_5,0.413166,0.41713999999999996,0.619155,0.406616
3AML_A_5GR1_A_2_3,0.380542,0.389914,0.521497,0.35484699999999997
3AML_A_5GQW_A_3_1,0.40605399999999997,0.403702,0.616478,0.40570500000000004
3AML_A_5GQZ_A_2_1,0.37756999999999996,0.39308200000000004,0.569581,0.408046
3AML_A_5GR3_A_2_1,0.398305,0.38581,0.5843430000000001,0.405225
3AML_A_5GQZ_A_1_2,0.367782,0.354658,0.5141060000000001,0.347142
3AML_A_5GR2_A_1_3,0.367841,0.35638000000000003,0.5418189999999999,0.360444
3AML_A_4BZY_A_1_3,0.5569109999999999,0.510474,0.806044,0.6140770000000001
3AML_A_3VU2_A_1_4,0.599543,0.5267850000000001,0.8806069999999999,0.701263
3AML_A_5GR2_A_2_3,0.380365,0.39718000000000003,0.555057,0.388916
3AML_A_5GR0_A_2_1,0.39216799999999996,0.389567,0.5901529999999999,0.407523
3AML_A_5GQZ_A_3_2,0.409044,0.420204,0.6259520000000001,0.412063
3AML_A_5GQU_A_1_3,0.366186,0.355877,0.5510510000000001,0.354092
3AML_A_6JOY_A_3_3,0.381166,0.352179,0.577487,0.403648
3AML_A_3AMK_A_1_1,0.5781229999999999,0.5406340000000001,0.8771040000000001,0.692331
3AML_A_3AMK_A_1_3,0.577674,0.540944,0.8807799999999999,0.6996319999999999
3AML_A_5GQW_A_2_4,0.383181,0.396625,0.579801,0.387794
3AML_A_5GQW_A_3_2,0.382853,0.40996400000000005,0.611096,0.409423
3AML_A_5GR2_A_3_3,0.43133900000000003,0.426472,0.642293,0.43358599999999997
3AML_A_5GR2_A_1_1,0.37135100000000004,0.34457,0.5184380000000001,0.327343
3AML_A_5GR1_A_3_2,0.40649,0.404494,0.6112029999999999,0.41981
3AML_A_4BZY_A_1_1,0.563638,0.510695,0.815808,0.619379
3AML_A_5GR0_A_3_5,0.406029,0.40282199999999996,0.6348229999999999,0.41826800000000003
3AML_A_5GQU_A_3_5,0.423149,0.412678,0.6156699999999999,0.41869300000000004
3AML_A_5GR3_A_2_3,0.384327,0.415505,0.570286,0.413854
3AML_A_5GQZ_A_1_3,0.381131,0.354693,0.546708,0.371832
3AML_A_3VU2_A_1_2,0.59706,0.541948,0.8801049999999999,0.7124199999999999
3AML_A_5GQU_A_3_1,0.394027,0.41606400000000004,0.613727,0.414458
3AML_A_6JOY_A_2_3,0.395447,0.390115,0.611039,0.406368
3AML_A_5GR5_A_2_2,0.389217,0.385739,0.589148,0.40277199999999996
3AML_A_5GQZ_A_1_5,0.361146,0.369015,0.541114,0.373735
3AML_A_6JOY_A_2_5,0.357515,0.358602,0.568114,0.389475
3AML_A_5GQW_A_1_5,0.361806,0.357786,0.547878,0.355957
3AML_A_5CLT_A_1_2,0.551879,0.47858100000000003,0.812662,0.6306729999999999
3AML_A_6JOY_A_1_3,0.370118,0.37038000000000004,0.585713,0.372465
3AML_A_5GQZ_A_2_3,0.410234,0.397156,0.630764,0.411627
3AML_A_5GQU_A_1_5,0.382952,0.361617,0.558376,0.377814
3AML_A_5GR3_A_2_5,0.410815,0.397644,0.579859,0.39465
3AML_A_5GR2_A_3_2,0.410653,0.403391,0.61448,0.40733800000000003
3AML_A_6JOY_A_2_2,0.37054499999999996,0.363948,0.582159,0.385058
3AML_A_5GQU_A_3_3,0.409728,0.40886999999999996,0.6190439999999999,0.41037399999999996
3AML_A_3AMK_A_1_5,0.5769350000000001,0.5476979999999999,0.876547,0.686087
3AML_A_5GQZ_A_3_1,0.40325300000000003,0.41430900000000004,0.622639,0.41273000000000004
3AML_A_4BZY_A_1_4,0.561825,0.508724,0.8099149999999999,0.631926
3AML_A_5CLT_A_2_5,0.56353,0.49482200000000004,0.8211870000000001,0.636887
3AML_A_5GQW_A_3_5,0.39253499999999997,0.404731,0.6107130000000001,0.394993
3AML_A_5GQU_A_1_2,0.353063,0.333279,0.559499,0.35057
3AML_A_5GQW_A_2_1,0.388517,0.393529,0.575548,0.39566100000000004
3AML_A_5CLT_A_1_3,0.565782,0.50868,0.825965,0.639004
3AML_A_6JOY_A_3_4,0.38185,0.356988,0.579082,0.402816
3AML_A_5CLT_A_3_2,0.561509,0.481501,0.819952,0.629135
3AML_A_6JOY_A_1_4,0.366912,0.368321,0.56188,0.368226
3AML_A_5GR0_A_2_3,0.40281,0.39836,0.621521,0.432516
3AML_A_4BZY_A_3_3,0.559021,0.507504,0.811127,0.62659
3AML_A_3VU2_A_1_1,0.603679,0.544303,0.889832,0.703751
3AML_A_5CLT_A_3_1,0.57413,0.488069,0.825159,0.645073
3AML_A_4BZY_A_3_2,0.566244,0.511459,0.8222799999999999,0.6266430000000001
3AML_A_5GR1_A_3_5,0.435713,0.41768,0.627579,0.42935500000000004
3AML_A_5GR2_A_3_1,0.392282,0.402715,0.598059,0.412105
3AML_A_5GQU_A_2_4,0.380341,0.380306,0.562706,0.386644
3AML_A_5CLT_A_2_3,0.5712149999999999,0.49131,0.8256479999999999,0.637885
3AML_A_5GQZ_A_1_1,0.379893,0.343539,0.517617,0.329394
3AML_A_4BZY_A_1_2,0.559528,0.50445,0.816176,0.633233
3AML_A_5GR1_A_3_1,0.41203500000000004,0.395934,0.60974,0.405208
3AML_A_6JOY_A_1_2,0.38616,0.378159,0.594763,0.374645
3AML_A_5GQU_A_3_2,0.39865900000000004,0.41793100000000005,0.6269819999999999,0.423695
3AML_A_5CLT_A_3_4,0.580236,0.503438,0.826263,0.6544409999999999
3AML_A_5GR5_A_2_3,0.390881,0.42203999999999997,0.5972310000000001,0.40980500000000003
3AML_A_4BZY_A_3_4,0.560177,0.515717,0.815608,0.629598
3AML_A_6JOY_A_3_1,0.37948000000000004,0.37244,0.586206,0.403265
3AML_A_3VU2_A_1_3,0.61051,0.532446,0.889756,0.7185010000000001
3AML_A_3AMK_A_1_2,0.565032,0.537288,0.8744370000000001,0.680719
3AML_A_4BZY_A_1_5,0.569768,0.528051,0.8172659999999999,0.631518
3AML_A_5CLT_A_1_1,0.558357,0.49404799999999993,0.8226969999999999,0.631073
3AML_A_5GR2_A_1_5,0.359752,0.348433,0.532787,0.35927600000000004
3AML_A_5GR3_A_1_4,0.367287,0.358572,0.560179,0.35318
3AML_A_5GR5_A_3_3,0.40718699999999997,0.405791,0.618232,0.41052299999999997
3AML_A_3VU2_A_1_5,0.600184,0.535852,0.885968,0.7116600000000001
3AML_A_5GQU_A_1_4,0.359205,0.35931,0.547172,0.35976199999999997
3AML_A_5GR0_A_3_2,0.40005300000000005,0.404217,0.623808,0.41698900000000005
3AML_A_5CLT_A_2_2,0.567558,0.483932,0.807394,0.6333260000000001
3AML_A_5GR0_A_2_2,0.375062,0.39474899999999996,0.568679,0.391527
3AML_A_5GR3_A_1_2,0.355506,0.365558,0.559172,0.345627
3AML_A_6JOY_A_2_4,0.346954,0.36730100000000004,0.543851,0.350279
3AML_A_5GR1_A_2_5,0.367845,0.391683,0.54532,0.372104
3AML_A_5GR2_A_2_4,0.387202,0.38608400000000004,0.5619109999999999,0.390063
3AML_A_5CLT_A_2_1,0.572491,0.5044609999999999,0.830831,0.645741
3AML_A_5CLT_A_2_4,0.564516,0.517979,0.827933,0.640296
3AML_A_5GQZ_A_1_4,0.364546,0.349335,0.54776,0.347787
3AML_A_5GR5_A_3_5,0.39991,0.41812200000000005,0.6236659999999999,0.41935
3AML_A_5GR2_A_3_4,0.39405999999999997,0.425004,0.611101,0.41013
3AML_A_5GQW_A_1_3,0.36591399999999996,0.35115999999999997,0.5424260000000001,0.346129
3AML_A_5GR1_A_2_4,0.37649299999999997,0.383617,0.558054,0.401971
3AML_A_3AMK_A_1_4,0.572471,0.531473,0.872403,0.700096
3AML_A_5GR2_A_2_5,0.36853800000000003,0.38772199999999996,0.594404,0.392703
3AML_A_5GQZ_A_2_5,0.40825900000000004,0.393809,0.598255,0.407074
3AML_A_5GQU_A_3_4,0.40481500000000004,0.429496,0.609739,0.410691
3AML_A_5GQW_A_1_1,0.37703000000000003,0.349846,0.5358569999999999,0.353428
3AML_A_5GR1_A_2_2,0.373379,0.380858,0.601074,0.392329
3AML_A_5GR3_A_1_5,0.369584,0.352617,0.526247,0.356767
3AML_A_5GQZ_A_2_2,0.38813200000000003,0.400432,0.591629,0.395893
3AML_A_5GQZ_A_3_3,0.421583,0.42023299999999997,0.6372479999999999,0.427763
3AML_A_5GQW_A_3_3,0.419846,0.423314,0.617592,0.416391
